claim_id,policy_id,line_of_business,industry_segment,state,loss_date,report_date,report_lag_days,cause_of_loss,claim_status,paid_loss,case_reserve,alae,incurred_loss,incurred_loss_alae
CLM-000406,POL-002803,BOP,Professional Services,FL,2025-08-30,2025-10-28,59,Business Interruption,Open,1379.43,1347.66,147.72,2727.09,2874.81
CLM-000407,POL-002809,General Liability,Restaurants & Food Service,AZ,2024-11-23,2024-11-29,6,Personal & Advertising Injury,Closed,45730.99,0.0,9779.66,45730.99,55510.65
CLM-000408,POL-002811,General Liability,Contractors,WA,2025-12-29,2026-01-18,20,Slip & Fall,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000409,POL-002819,BOP,Professional Services,TX,2026-03-19,2026-04-04,16,Theft/Burglary,Open,907.96,1338.01,259.46,2245.97,2505.43
CLM-000410,POL-002830,General Liability,Contractors,FL,2024-11-27,2025-02-23,88,Property Damage - 3rd Party,Closed,4664.24,0.0,1002.93,4664.24,5667.17
CLM-000411,POL-002846,General Liability,Retail,GA,2025-04-08,2026-01-01,268,Products Liability,Open,1466.81,1692.34,397.05,3159.15,3556.2
CLM-000412,POL-002849,BOP,Restaurants & Food Service,IL,2024-03-27,2024-05-23,57,Fire,Closed,3417.69,0.0,438.4,3417.69,3856.09
CLM-000413,POL-002849,BOP,Restaurants & Food Service,IL,2024-01-07,2024-02-12,36,Wind/Hail,Closed,3974.66,0.0,479.26,3974.66,4453.92
CLM-000414,POL-002860,Professional Liability,Healthcare Services,IL,2024-05-15,2024-09-09,117,Failure to Deliver,Open,22393.57,42695.59,10432.55,65089.16,75521.71
CLM-000415,POL-002889,General Liability,Retail,NC,2025-10-22,2026-01-17,87,Completed Operations,Closed,355282.29,0.0,26919.98,355282.29,382202.27
CLM-000416,POL-002901,General Liability,Contractors,AZ,2026-04-23,2026-05-16,23,Personal & Advertising Injury,Open,11500.75,47862.94,10216.08,59363.69,69579.77
CLM-000417,POL-002901,General Liability,Contractors,AZ,2025-10-02,2026-04-12,192,Personal & Advertising Injury,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000418,POL-002912,General Liability,Contractors,TX,2024-02-05,2024-03-09,33,Completed Operations,Open,20635.16,38875.16,10511.92,59510.32,70022.24
CLM-000419,POL-002922,General Liability,Restaurants & Food Service,AZ,2025-10-14,2025-10-22,8,Slip & Fall,Open,41683.11,61287.78,10975.06,102970.89,113945.95
CLM-000420,POL-002932,General Liability,Restaurants & Food Service,TX,2025-11-15,2025-12-07,22,Products Liability,Open,9796.06,96911.45,4646.06,106707.51,111353.57
CLM-000421,POL-002941,General Liability,Contractors,IL,2025-02-17,2026-04-08,415,Slip & Fall,Open,1689.18,2204.14,311.28,3893.32,4204.6
CLM-000422,POL-002961,BOP,Contractors,FL,2025-11-27,2025-12-05,8,Wind/Hail,Open,4990.81,7350.63,2168.82,12341.44,14510.26
CLM-000423,POL-002967,Professional Liability,Professional Services,AZ,2024-12-29,2025-04-21,113,Regulatory Proceeding,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000424,POL-002972,General Liability,Contractors,CA,2024-09-06,2024-09-18,12,Products Liability,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000425,POL-002974,BOP,Retail,WA,2025-06-19,2025-07-16,27,Theft/Burglary,Open,4014.49,9841.2,1059.09,13855.69,14914.78
CLM-000426,POL-002981,BOP,Technology,IL,2024-08-06,2024-09-22,47,Theft/Burglary,Closed,12607.07,0.0,1194.07,12607.07,13801.14
CLM-000427,POL-002994,BOP,Restaurants & Food Service,WA,2024-10-20,2024-12-14,55,Fire,Closed,33544.33,0.0,4314.68,33544.33,37859.01
CLM-000428,POL-003000,General Liability,Retail,TX,2025-09-21,2025-09-25,4,Completed Operations,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000429,POL-003005,General Liability,Real Estate,NY,2025-05-25,2025-06-03,9,Slip & Fall,Open,84486.03,141302.88,36051.76,225788.91,261840.67
CLM-000430,POL-003007,BOP,Healthcare Services,FL,2023-08-15,2023-10-20,66,Theft/Burglary,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000431,POL-003019,BOP,Restaurants & Food Service,NC,2025-06-17,2025-06-18,1,Water Damage,Open,766.49,6215.41,1476.21,6981.9,8458.11
CLM-000432,POL-003019,BOP,Restaurants & Food Service,NC,2026-04-13,2026-05-13,30,Wind/Hail,Open,1405.45,1833.33,129.61,3238.78,3368.39
CLM-000433,POL-003027,BOP,Restaurants & Food Service,OH,2024-10-26,2025-01-02,68,Water Damage,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000434,POL-003046,BOP,Contractors,IL,2025-08-24,2025-12-26,124,Wind/Hail,Open,899.8,7923.96,1906.06,8823.76,10729.82
CLM-000435,POL-003060,General Liability,Contractors,WA,2025-08-05,2025-09-30,56,Personal & Advertising Injury,Closed,32504.68,0.0,2860.3,32504.68,35364.98
CLM-000436,POL-003064,BOP,Light Manufacturing,TX,2024-01-31,2024-02-04,4,Slip & Fall,Closed,6356.41,0.0,489.06,6356.41,6845.47
CLM-000437,POL-003071,General Liability,Retail,TX,2025-07-22,2025-08-04,13,Property Damage - 3rd Party,Closed,39543.42,0.0,3044.43,39543.42,42587.85
CLM-000438,POL-003073,BOP,Restaurants & Food Service,GA,2024-01-11,2024-01-25,14,Wind/Hail,Open,708.11,4153.1,316.13,4861.21,5177.34
CLM-000439,POL-003087,General Liability,Light Manufacturing,AZ,2025-07-01,2025-07-05,4,Completed Operations,Open,19394.47,95360.55,16813.64,114755.02,131568.66
CLM-000440,POL-003088,General Liability,Light Manufacturing,AZ,2026-04-02,2026-06-26,85,Personal & Advertising Injury,Open,21112.19,38013.2,6043.38,59125.39,65168.77
CLM-000441,POL-003091,General Liability,Contractors,WA,2024-08-09,2024-10-10,62,Property Damage - 3rd Party,Open,15822.87,125631.2,9608.83,141454.07,151062.9
CLM-000442,POL-003096,General Liability,Professional Services,NC,2025-04-18,2025-06-06,49,Personal & Advertising Injury,Open,5063.59,37671.18,3821.12,42734.77,46555.89
CLM-000443,POL-003099,BOP,Restaurants & Food Service,NC,2026-02-16,2026-03-07,19,Water Damage,Closed,1923.12,0.0,418.78,1923.12,2341.9
CLM-000444,POL-003106,BOP,Restaurants & Food Service,CA,2025-08-21,2025-09-01,11,Slip & Fall,Open,1398.62,7035.05,1432.2,8433.67,9865.87
CLM-000445,POL-003115,BOP,Professional Services,IL,2024-03-31,2024-04-10,10,Fire,Closed,5911.82,0.0,739.37,5911.82,6651.19
CLM-000446,POL-003119,BOP,Restaurants & Food Service,NY,2025-03-24,2025-03-26,2,Slip & Fall,Closed,1684.45,0.0,352.57,1684.45,2037.02
CLM-000447,POL-003119,BOP,Restaurants & Food Service,NY,2025-07-05,2025-07-06,1,Business Interruption,Closed,8087.55,0.0,1292.94,8087.55,9380.49
CLM-000448,POL-003124,BOP,Real Estate,IL,2024-05-31,2024-06-18,18,Water Damage,Closed,4495.44,0.0,967.87,4495.44,5463.31
CLM-000449,POL-003130,General Liability,Contractors,TX,2025-08-01,2025-12-04,125,Products Liability,Open,5656.41,6564.28,1525.4,12220.69,13746.09
CLM-000450,POL-003133,BOP,Retail,NC,2024-01-21,2024-01-26,5,Wind/Hail,Closed,2433.2,0.0,360.31,2433.2,2793.51
CLM-000451,POL-003135,BOP,Real Estate,OH,2025-05-24,2025-05-26,2,Theft/Burglary,Open,2060.85,3213.68,836.21,5274.53,6110.74
CLM-000452,POL-003147,Professional Liability,Professional Services,TX,2023-09-25,2024-02-01,129,Failure to Deliver,Open,4881.19,5355.26,1791.5,10236.45,12027.95
CLM-000453,POL-003156,BOP,Retail,TX,2025-04-27,2025-05-03,6,Business Interruption,Closed,2139.86,0.0,434.51,2139.86,2574.37
CLM-000454,POL-003158,General Liability,Real Estate,GA,2026-01-16,2026-02-08,23,Completed Operations,Closed,20989.14,0.0,2974.87,20989.14,23964.01
CLM-000455,POL-003170,BOP,Real Estate,TX,2026-01-15,2026-06-12,148,Slip & Fall,Open,538.13,1107.4,134.95,1645.53,1780.48
CLM-000456,POL-003184,BOP,Restaurants & Food Service,CA,2025-07-26,2025-08-18,23,Business Interruption,Closed,2893.71,0.0,463.48,2893.71,3357.19
CLM-000457,POL-003188,BOP,Healthcare Services,IL,2026-05-09,2026-06-02,24,Slip & Fall,Open,56796.3,103968.44,22565.57,160764.74,183330.31
CLM-000458,POL-003204,General Liability,Contractors,CA,2025-05-04,2025-10-27,176,Completed Operations,Closed,12735.27,0.0,2515.8,12735.27,15251.07
CLM-000459,POL-003216,BOP,Retail,FL,2024-12-13,2025-01-09,27,Theft/Burglary,Closed,3385.71,0.0,248.15,3385.71,3633.86
CLM-000460,POL-003226,Professional Liability,Technology,FL,2025-06-06,2025-09-06,92,Misrepresentation,Open,3115.45,11201.36,2178.69,14316.81,16495.5
CLM-000461,POL-003229,BOP,Healthcare Services,IL,2026-03-14,2026-03-28,14,Theft/Burglary,Closed,1479.82,0.0,171.52,1479.82,1651.34
CLM-000462,POL-003230,BOP,Light Manufacturing,AZ,2024-10-14,2024-10-17,3,Business Interruption,Closed,9206.14,0.0,595.59,9206.14,9801.73
CLM-000463,POL-003234,General Liability,Restaurants & Food Service,NC,2025-05-20,2025-10-26,159,Slip & Fall,Closed,15282.55,0.0,3315.54,15282.55,18598.09
CLM-000464,POL-003249,General Liability,Healthcare Services,TX,2023-09-12,2024-01-14,124,Slip & Fall,Open,3382.05,24626.46,3686.9,28008.51,31695.41
CLM-000465,POL-003259,Professional Liability,Real Estate,OH,2024-09-14,2024-12-02,79,Failure to Deliver,Open,42244.95,304702.13,45389.91,346947.08,392336.99
CLM-000466,POL-003269,General Liability,Contractors,CA,2025-11-04,2026-01-16,73,Slip & Fall,Closed,16473.83,0.0,2125.58,16473.83,18599.41
CLM-000467,POL-003272,Professional Liability,Light Manufacturing,NC,2025-05-31,2025-11-19,172,Misrepresentation,Open,27263.19,73327.07,10437.17,100590.26,111027.43
CLM-000468,POL-003283,General Liability,Light Manufacturing,AZ,2023-11-11,2025-02-15,462,Completed Operations,Open,3345.64,13740.73,1997.03,17086.37,19083.4
CLM-000469,POL-003283,General Liability,Light Manufacturing,AZ,2024-03-18,2024-05-07,50,Property Damage - 3rd Party,Open,6821.53,25091.67,6800.9,31913.2,38714.1
CLM-000470,POL-003307,BOP,Retail,CA,2025-08-14,2025-09-16,33,Fire,Open,128.35,274.06,70.58,402.41,472.99
CLM-000471,POL-003313,BOP,Retail,NC,2024-04-30,2024-05-08,8,Theft/Burglary,Closed,2074.64,0.0,156.6,2074.64,2231.24
CLM-000472,POL-003318,BOP,Professional Services,AZ,2025-03-15,2025-03-20,5,Slip & Fall,Closed,5582.12,0.0,243.96,5582.12,5826.08
CLM-000473,POL-003323,BOP,Retail,OH,2024-03-26,2024-07-12,108,Theft/Burglary,Open,605.11,2382.45,518.61,2987.56,3506.17
CLM-000474,POL-003332,BOP,Restaurants & Food Service,FL,2023-11-17,2023-12-08,21,Wind/Hail,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000475,POL-003333,BOP,Restaurants & Food Service,FL,2025-08-16,2025-08-26,10,Slip & Fall,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000476,POL-003334,BOP,Restaurants & Food Service,FL,2026-06-07,2026-06-07,0,Business Interruption,Open,881.95,2536.19,557.48,3418.14,3975.62
CLM-000477,POL-003336,BOP,Healthcare Services,NY,2025-11-07,2025-11-08,1,Fire,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000478,POL-003349,General Liability,Restaurants & Food Service,AZ,2023-10-20,2024-08-12,297,Slip & Fall,Open,14846.92,32635.97,7382.42,47482.89,54865.31
CLM-000479,POL-003353,BOP,Restaurants & Food Service,TX,2025-06-30,2025-07-19,19,Business Interruption,Closed,4488.36,0.0,535.48,4488.36,5023.84
CLM-000480,POL-003354,BOP,Restaurants & Food Service,TX,2025-09-29,2025-11-14,46,Water Damage,Closed,20807.22,0.0,4183.45,20807.22,24990.67
CLM-000481,POL-003356,General Liability,Healthcare Services,IL,2025-01-24,2025-04-05,71,Products Liability,Closed,15441.96,0.0,2427.74,15441.96,17869.7
CLM-000482,POL-003356,General Liability,Healthcare Services,IL,2024-10-16,2025-04-04,170,Personal & Advertising Injury,Closed,845611.34,0.0,63944.38,845611.34,909555.72
CLM-000483,POL-003366,Professional Liability,Healthcare Services,GA,2025-05-25,2026-04-08,318,Breach of Duty,Open,103895.03,352466.5,65852.15,456361.53,522213.68
CLM-000484,POL-003377,Professional Liability,Light Manufacturing,CA,2024-08-03,2024-10-18,76,Regulatory Proceeding,Open,3678.6,6695.77,1274.81,10374.37,11649.18
CLM-000485,POL-003380,Professional Liability,Professional Services,FL,2025-07-22,2025-12-30,161,Misrepresentation,Closed,3892.89,0.0,539.39,3892.89,4432.28
CLM-000486,POL-003387,Professional Liability,Retail,CA,2025-11-08,2026-06-21,225,Failure to Deliver,Open,935.79,14536.51,1538.21,15472.3,17010.51
CLM-000487,POL-003398,BOP,Restaurants & Food Service,WA,2025-08-26,2025-09-10,15,Fire,Open,16458.19,122941.99,9740.72,139400.18,149140.9
CLM-000488,POL-003402,General Liability,Contractors,OH,2025-06-28,2025-07-21,23,Personal & Advertising Injury,Open,2136.3,6371.01,1676.02,8507.31,10183.33
CLM-000489,POL-003404,BOP,Professional Services,NC,2025-09-27,2025-09-30,3,Business Interruption,Closed,2798.48,0.0,479.68,2798.48,3278.16
CLM-000490,POL-003409,General Liability,Professional Services,IL,2024-11-07,2024-11-11,4,Personal & Advertising Injury,Closed,1956.33,0.0,148.99,1956.33,2105.32
CLM-000491,POL-003410,General Liability,Professional Services,IL,2026-01-23,2026-03-02,38,Personal & Advertising Injury,Open,3495.31,28198.72,5981.64,31694.03,37675.67
CLM-000492,POL-003414,BOP,Real Estate,NY,2024-11-15,2024-12-19,34,Theft/Burglary,Open,19116.48,42534.11,9604.97,61650.59,71255.56
CLM-000493,POL-003433,BOP,Contractors,FL,2026-02-01,2026-02-20,19,Wind/Hail,Closed,8479.23,0.0,778.95,8479.23,9258.18
CLM-000494,POL-003458,BOP,Restaurants & Food Service,GA,2024-08-13,2024-08-26,13,Theft/Burglary,Closed,7403.53,0.0,907.09,7403.53,8310.62
CLM-000495,POL-003468,BOP,Retail,NC,2025-01-08,2025-01-14,6,Business Interruption,Closed,712.81,0.0,35.44,712.81,748.25
CLM-000496,POL-003470,BOP,Real Estate,WA,2025-08-16,2025-08-25,9,Theft/Burglary,Closed,3605.0,0.0,447.37,3605.0,4052.37
CLM-000497,POL-003477,Professional Liability,Healthcare Services,TX,2024-06-17,2025-08-24,433,Failure to Deliver,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000498,POL-003493,General Liability,Healthcare Services,IL,2024-06-24,2024-12-26,185,Products Liability,Closed,4372.62,0.0,370.16,4372.62,4742.78
CLM-000499,POL-003493,General Liability,Healthcare Services,IL,2024-12-17,2025-01-25,39,Personal & Advertising Injury,Closed,1505.59,0.0,267.69,1505.59,1773.28
CLM-000500,POL-003526,BOP,Retail,TX,2026-01-13,2026-01-13,0,Water Damage,Open,151.69,1046.5,98.29,1198.19,1296.48
CLM-000501,POL-003526,BOP,Retail,TX,2026-04-28,2026-05-10,12,Water Damage,Open,3494.21,6897.88,2048.2,10392.09,12440.29
CLM-000502,POL-003534,General Liability,Contractors,TX,2025-06-13,2025-10-10,119,Property Damage - 3rd Party,Closed,61360.4,0.0,10065.18,61360.4,71425.58
CLM-000503,POL-003541,General Liability,Contractors,AZ,2025-12-19,2026-05-17,149,Products Liability,Open,62535.7,125114.22,12182.02,187649.92,199831.94
CLM-000504,POL-003545,General Liability,Real Estate,IL,2024-05-29,2024-06-30,32,Property Damage - 3rd Party,Closed,7079.62,0.0,1423.31,7079.62,8502.93
CLM-000505,POL-003545,General Liability,Real Estate,IL,2024-07-01,2024-12-01,153,Completed Operations,Closed,82913.94,0.0,14601.23,82913.94,97515.17
CLM-000506,POL-003548,BOP,Restaurants & Food Service,NY,2024-09-14,2024-09-25,11,Wind/Hail,Closed,2747.93,0.0,333.72,2747.93,3081.65
CLM-000507,POL-003550,BOP,Restaurants & Food Service,NY,2026-02-12,2026-03-27,43,Slip & Fall,Closed,2968.36,0.0,274.73,2968.36,3243.09
CLM-000508,POL-003552,BOP,Light Manufacturing,NY,2024-08-29,2024-09-03,5,Water Damage,Closed,4806.65,0.0,507.36,4806.65,5314.01
CLM-000509,POL-003556,General Liability,Contractors,CA,2025-10-26,2026-01-13,79,Completed Operations,Closed,26001.02,0.0,1563.64,26001.02,27564.66
CLM-000510,POL-003572,BOP,Retail,WA,2025-01-21,2025-02-06,16,Wind/Hail,Closed,5908.45,0.0,1201.85,5908.45,7110.3
CLM-000511,POL-003581,BOP,Contractors,TX,2025-09-13,2025-09-14,1,Slip & Fall,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000512,POL-003585,BOP,Light Manufacturing,TX,2026-01-16,2026-02-01,16,Wind/Hail,Open,486.18,6092.51,397.12,6578.69,6975.81
CLM-000513,POL-003624,BOP,Retail,OH,2024-08-29,2024-08-30,1,Slip & Fall,Closed,8811.1,0.0,1529.78,8811.1,10340.88
CLM-000514,POL-003636,Professional Liability,Healthcare Services,NY,2024-01-01,2025-01-01,366,Breach of Duty,Open,4475.87,36622.98,3856.85,41098.85,44955.7
CLM-000515,POL-003640,General Liability,Retail,CA,2023-05-16,2023-12-13,211,Slip & Fall,Open,112.2,1147.75,98.43,1259.95,1358.38
CLM-000516,POL-003642,General Liability,Retail,CA,2025-03-04,2025-03-09,5,Slip & Fall,Closed,48132.43,0.0,7976.4,48132.43,56108.83
CLM-000517,POL-003650,BOP,Retail,OH,2026-05-25,2026-06-02,8,Fire,Open,3013.8,4226.46,294.72,7240.26,7534.98
CLM-000518,POL-003659,General Liability,Contractors,OH,2026-02-16,2026-06-03,107,Slip & Fall,Open,23478.74,57806.18,15705.84,81284.92,96990.76
CLM-000519,POL-003664,BOP,Restaurants & Food Service,OH,2025-09-18,2025-09-21,3,Water Damage,Closed,11095.61,0.0,509.32,11095.61,11604.93
CLM-000520,POL-003668,BOP,Light Manufacturing,IL,2025-09-03,2025-09-09,6,Business Interruption,Closed,10277.43,0.0,731.59,10277.43,11009.02
CLM-000521,POL-003668,BOP,Light Manufacturing,IL,2025-01-05,2025-02-03,29,Theft/Burglary,Open,2907.32,35756.13,4479.82,38663.45,43143.27
CLM-000522,POL-003675,General Liability,Contractors,CA,2025-11-21,2026-02-10,81,Property Damage - 3rd Party,Open,3720.18,6491.45,656.23,10211.63,10867.86
CLM-000523,POL-003695,Professional Liability,Professional Services,WA,2024-05-17,2024-12-25,222,Failure to Deliver,Open,11536.46,19260.93,2290.51,30797.39,33087.9
CLM-000524,POL-003698,BOP,Light Manufacturing,IL,2025-02-14,2025-02-26,12,Business Interruption,Closed,66451.26,0.0,10790.77,66451.26,77242.03
CLM-000525,POL-003706,BOP,Restaurants & Food Service,TX,2025-12-26,2026-02-12,48,Business Interruption,Closed,1982.69,0.0,354.44,1982.69,2337.13
CLM-000526,POL-003712,General Liability,Real Estate,FL,2025-10-25,2026-01-29,96,Products Liability,Open,9043.42,51436.66,9108.81,60480.08,69588.89
CLM-000527,POL-003713,BOP,Real Estate,TX,2023-04-24,2023-04-29,5,Theft/Burglary,Open,223.65,3633.96,596.12,3857.61,4453.73
CLM-000528,POL-003716,General Liability,Contractors,CA,2024-05-06,2024-05-23,17,Property Damage - 3rd Party,Closed,13928.11,0.0,1028.5,13928.11,14956.61
CLM-000529,POL-003720,BOP,Retail,IL,2024-10-06,2025-03-20,165,Water Damage,Closed,3994.57,0.0,827.77,3994.57,4822.34
CLM-000530,POL-003724,Professional Liability,Restaurants & Food Service,CA,2024-05-29,2024-07-23,55,Breach of Duty,Open,14680.11,13099.99,6025.48,27780.1,33805.58
CLM-000531,POL-003739,General Liability,Retail,IL,2025-01-24,2025-02-27,34,Completed Operations,Closed,55885.85,0.0,4297.98,55885.85,60183.83
CLM-000532,POL-003740,General Liability,Retail,IL,2025-05-09,2025-07-14,66,Completed Operations,Closed,1588.96,0.0,93.44,1588.96,1682.4
CLM-000533,POL-003748,General Liability,Healthcare Services,GA,2025-06-27,2025-12-10,166,Personal & Advertising Injury,Open,5692.32,5212.8,610.4,10905.12,11515.52
CLM-000534,POL-003772,BOP,Light Manufacturing,FL,2023-12-19,2023-12-19,0,Slip & Fall,Closed,10651.45,0.0,477.24,10651.45,11128.69
CLM-000535,POL-003776,BOP,Contractors,FL,2024-08-25,2024-09-11,17,Business Interruption,Closed,23888.03,0.0,3561.03,23888.03,27449.06
CLM-000536,POL-003777,BOP,Contractors,FL,2025-09-07,2025-09-30,23,Business Interruption,Closed,3775.81,0.0,741.13,3775.81,4516.94
CLM-000537,POL-003779,BOP,Restaurants & Food Service,NC,2025-01-16,2025-03-28,71,Business Interruption,Open,217.36,2120.9,451.86,2338.26,2790.12
CLM-000538,POL-003810,General Liability,Light Manufacturing,FL,2025-12-07,2025-12-30,23,Personal & Advertising Injury,Closed,28819.97,0.0,2092.99,28819.97,30912.96
CLM-000539,POL-003813,General Liability,Real Estate,TX,2024-03-09,2024-03-15,6,Personal & Advertising Injury,Open,3583.89,21390.37,5006.7,24974.26,29980.96
CLM-000540,POL-003816,General Liability,Professional Services,NY,2025-05-12,2025-05-29,17,Products Liability,Open,14285.21,22842.65,4057.05,37127.86,41184.91
CLM-000541,POL-003827,General Liability,Contractors,IL,2026-03-06,2026-04-27,52,Property Damage - 3rd Party,Open,126786.88,194065.98,44243.8,320852.86,365096.66
CLM-000542,POL-003830,BOP,Retail,NC,2025-01-26,2025-02-01,6,Business Interruption,Closed,30917.33,0.0,4447.61,30917.33,35364.94
CLM-000543,POL-003831,BOP,Contractors,IL,2024-12-19,2025-01-06,18,Fire,Closed,8327.6,0.0,1790.32,8327.6,10117.92
CLM-000544,POL-003836,BOP,Restaurants & Food Service,IL,2023-08-16,2023-08-28,12,Water Damage,Open,1545.77,13435.02,746.65,14980.79,15727.44
CLM-000545,POL-003837,BOP,Contractors,NC,2024-04-26,2024-07-08,73,Theft/Burglary,Open,27353.99,24103.18,3508.73,51457.17,54965.9
CLM-000546,POL-003843,General Liability,Contractors,NY,2025-06-19,2025-07-22,33,Personal & Advertising Injury,Open,5544.6,7570.94,1521.01,13115.54,14636.55
CLM-000547,POL-003843,General Liability,Contractors,NY,2026-04-18,2026-05-24,36,Property Damage - 3rd Party,Open,20028.82,32249.37,5632.96,52278.19,57911.15
CLM-000548,POL-003856,General Liability,Contractors,NC,2024-09-25,2024-11-05,41,Slip & Fall,Open,4411.61,79426.5,12513.88,83838.11,96351.99
CLM-000549,POL-003857,General Liability,Contractors,NC,2025-11-21,2026-05-15,175,Slip & Fall,Open,1239.58,3137.04,223.69,4376.62,4600.31
CLM-000550,POL-003859,General Liability,Restaurants & Food Service,FL,2024-12-28,2025-04-18,111,Completed Operations,Closed,20133.2,0.0,1636.87,20133.2,21770.07
CLM-000551,POL-003863,BOP,Restaurants & Food Service,NY,2025-04-13,2025-05-12,29,Slip & Fall,Closed,9706.71,0.0,968.29,9706.71,10675.0
CLM-000552,POL-003866,General Liability,Retail,CA,2026-03-05,2026-04-16,42,Slip & Fall,Open,1511.98,4644.25,287.32,6156.23,6443.55
CLM-000553,POL-003876,BOP,Restaurants & Food Service,FL,2025-04-20,2025-05-19,29,Business Interruption,Closed,4477.5,0.0,598.79,4477.5,5076.29
CLM-000554,POL-003876,BOP,Restaurants & Food Service,FL,2025-05-15,2025-05-21,6,Wind/Hail,Closed,18917.17,0.0,4114.35,18917.17,23031.52
CLM-000555,POL-003880,General Liability,Restaurants & Food Service,TX,2025-12-27,2026-02-28,63,Slip & Fall,Open,6011.2,11722.64,1100.86,17733.84,18834.7
CLM-000556,POL-003891,BOP,Real Estate,NY,2023-09-09,2023-11-15,67,Business Interruption,Closed,21986.53,0.0,3991.37,21986.53,25977.9
CLM-000557,POL-003893,BOP,Real Estate,NY,2026-01-01,2026-01-17,16,Theft/Burglary,Closed,36979.81,0.0,1821.47,36979.81,38801.28
CLM-000558,POL-003900,BOP,Contractors,NY,2025-07-02,2025-09-10,70,Wind/Hail,Open,2714.96,2657.03,336.73,5371.99,5708.72
CLM-000559,POL-003903,Professional Liability,Healthcare Services,IL,2023-09-19,2025-04-29,588,Breach of Duty,Closed,34322.15,0.0,2095.2,34322.15,36417.35
CLM-000560,POL-003916,General Liability,Real Estate,CA,2024-06-24,2024-09-11,79,Products Liability,Open,4484.08,15728.08,1596.99,20212.16,21809.15
CLM-000561,POL-003919,BOP,Light Manufacturing,IL,2024-04-04,2024-05-06,32,Slip & Fall,Closed,15569.86,0.0,1634.87,15569.86,17204.73
CLM-000562,POL-003922,General Liability,Real Estate,CA,2024-11-09,2024-12-16,37,Slip & Fall,Open,7912.76,69691.59,4741.68,77604.35,82346.03
CLM-000563,POL-003929,BOP,Real Estate,IL,2023-10-17,2023-11-02,16,Business Interruption,Closed,1661.77,0.0,185.22,1661.77,1846.99
CLM-000564,POL-003950,BOP,Light Manufacturing,TX,2026-03-31,2026-04-06,6,Wind/Hail,Open,1721.0,7018.56,1610.8,8739.56,10350.36
CLM-000565,POL-003951,General Liability,Contractors,NY,2024-03-21,2025-05-22,427,Personal & Advertising Injury,Closed,45325.77,0.0,5475.65,45325.77,50801.42
CLM-000566,POL-003951,General Liability,Contractors,NY,2024-03-18,2024-04-04,17,Personal & Advertising Injury,Closed,15470.13,0.0,1925.75,15470.13,17395.88
CLM-000567,POL-003955,General Liability,Retail,NC,2026-03-04,2026-03-09,5,Slip & Fall,Open,6125.45,8158.85,2973.37,14284.3,17257.67
CLM-000568,POL-003963,General Liability,Contractors,CA,2023-10-27,2023-12-15,49,Products Liability,Closed,15786.15,0.0,728.1,15786.15,16514.25
CLM-000569,POL-003975,BOP,Contractors,IL,2024-05-10,2024-06-04,25,Fire,Closed,8839.27,0.0,1075.41,8839.27,9914.68
CLM-000570,POL-003975,BOP,Contractors,IL,2024-12-16,2024-12-25,9,Business Interruption,Closed,14842.02,0.0,2579.76,14842.02,17421.78
CLM-000571,POL-003981,General Liability,Real Estate,NY,2025-01-23,2025-03-15,51,Slip & Fall,Closed,9902.85,0.0,1234.57,9902.85,11137.42
CLM-000572,POL-003983,BOP,Contractors,IL,2026-01-25,2026-02-09,15,Water Damage,Open,949.79,3996.05,870.2,4945.84,5816.04
CLM-000573,POL-003983,BOP,Contractors,IL,2026-05-09,2026-05-27,18,Business Interruption,Open,2074.12,3660.31,459.55,5734.43,6193.98
CLM-000574,POL-003988,BOP,Restaurants & Food Service,IL,2025-04-08,2025-04-13,5,Theft/Burglary,Closed,15054.09,0.0,1936.33,15054.09,16990.42
CLM-000575,POL-003996,General Liability,Restaurants & Food Service,TX,2025-07-19,2026-02-09,205,Completed Operations,Open,1435.22,2803.16,405.03,4238.38,4643.41
CLM-000576,POL-004022,BOP,Light Manufacturing,AZ,2024-12-03,2024-12-24,21,Slip & Fall,Closed,3125.91,0.0,216.15,3125.91,3342.06
CLM-000577,POL-004035,BOP,Real Estate,IL,2025-06-30,2025-07-02,2,Theft/Burglary,Closed,3981.85,0.0,398.87,3981.85,4380.72
CLM-000578,POL-004045,BOP,Restaurants & Food Service,IL,2025-12-20,2025-12-22,2,Wind/Hail,Closed,15452.94,0.0,852.91,15452.94,16305.85
CLM-000579,POL-004059,BOP,Healthcare Services,NC,2024-12-27,2025-01-18,22,Fire,Open,6073.7,9888.84,1965.44,15962.54,17927.98
CLM-000580,POL-004062,BOP,Light Manufacturing,WA,2025-01-13,2025-06-02,140,Business Interruption,Closed,6392.09,0.0,660.86,6392.09,7052.95
